domain,total,M,F,18-24,25-34,35-44,45-54,>=55
sat-22.ru,4,3,0,0,3,0,0,0
gorod.rostov-on-don.mnogonado.net,1,0,1,1,0,0,0,0
rusports.org,1,1,0,0,0,1,0,0
mazda-mitsubishi.ru,2,2,0,0,0,0,0,2
modnaya-krasivaya.ru,2,1,1,0,0,2,0,0
skazkanazakaz.ucoz.ru,2,2,0,0,0,0,2,0
sayings.ru,1,1,0,0,0,1,0,0
kaluga.blizko.ru,3,3,0,0,0,0,3,0
sch2.ru,2,2,0,0,0,2,0,0
smigid.ru,6,5,1,0,1,5,0,0
bankinfosecurity.com,1,0,1,0,0,0,1,0
ritapoems.org,3,0,3,3,0,0,0,0
nashaucheba.ru,40,21,19,2,16,15,0,7
xn-----6kcacmdbim2ad2afhwtea3biwx8d.xn--p1ai,120,25,92,5,16,54,40,2
djsradioshow.com,12,12,0,0,12,0,0,0
ufa.rasprodaga.ru,2,2,0,0,0,2,0,0
mntzz.exclusive-rewards.toothpastedad.biz,1,0,1,0,1,0,0,0
tululu.ru,1,1,0,0,1,0,0,0
velib.com,35,12,23,1,2,15,13,4
mapcy.narod.ru,5,5,0,0,0,5,0,0
хочу-ребенка.рф,2,0,2,0,1,1,0,0
autoride.ru,1,1,0,0,1,0,0,0
tampliers.ucoz.ru,2,0,2,0,2,0,0,0
hultura.ru,3,1,0,1,0,0,0,0
romanovaelena.ru,14,2,12,0,0,12,2,0
gedeongroup.ru,6,6,0,0,0,6,0,0
prykolno.info,1,1,0,0,0,1,0,0
lyublyu.ru,850,196,638,0,191,632,6,5
skyworlds.net,2,2,0,0,2,0,0,0
br-analytics.ru,4,2,2,0,2,2,0,0
lanza-perm.ru,1,0,1,0,0,1,0,0
english-russian.translate.ua,1,0,1,0,1,0,0,0
film-online-kino.com,31,30,1,6,22,3,0,0
zdravoblog.ru,1,1,0,0,0,1,0,0
apreal.ru,2,2,0,0,2,0,0,0
bbkorea.com.ua,2,0,2,0,2,0,0,0
babik-shop.ru,2,2,0,0,2,0,0,0
metodsovet.su,38,7,25,2,8,21,1,0
moscow.stomatologija.su,3,2,1,0,3,0,0,0
avastatus.ru,2,0,2,2,0,0,0,0
myisemya.ru,1,1,0,0,1,0,0,0
wow-heroes.com,11,10,0,10,0,0,0,0
compdoc.ru,2,2,0,0,2,0,0,0
avtprom.ru,2,2,0,1,0,0,1,0
uazprof.ru,3,3,0,0,3,0,0,0
podgitaru.narod.ru,1,0,1,0,0,0,1,0
jancapnik.ucoz.ru,1,1,0,0,1,0,0,0
tiktok-lunatik.ru,6,6,0,0,0,6,0,0
online-fan.com,2,2,0,0,2,0,0,0
voennovosti.ru,30,11,3,0,7,7,0,0
naohote.narod.ru,1,1,0,0,1,0,0,0
yo42.ru,216,216,0,0,216,0,0,0
z-14.ru,5,5,0,0,5,0,0,0
mental-plus.ru,4,0,4,0,4,0,0,0
1-fin.ru,7,3,4,2,0,5,0,0
voolf.ru,1,1,0,0,1,0,0,0
svitup.com,2,1,1,0,0,2,0,0
podelki-online.ru,3,0,3,0,1,0,0,2
tubent.com,44,23,5,3,13,6,6,0
torrent3.ru,10,8,2,1,5,2,2,0
khmao.localmart.ru,1,1,0,0,1,0,0,0
gameless.ru,1,1,0,0,0,1,0,0
ecotekstil.ru,2,0,2,0,2,0,0,0
uchim.biz,2,2,0,0,0,2,0,0
bonus.zebra-universal.ru,3,0,3,0,0,3,0,0
ay-herb.ru,2,0,2,0,0,2,0,0
18541.ru.all.biz,1,1,0,0,0,0,1,0
an-poluhin.livejournal.com,1,1,0,0,1,0,0,0
tech.justmart.ru,3,3,0,3,0,0,0,0
chudesa.ru,6,1,5,0,1,5,0,0
capezio.com,1,0,1,0,0,0,0,1
brusnichka.com.ua,211,39,172,15,173,18,1,4
google.co.uz,8,8,0,0,7,1,0,0
castom.bget.ru,5,5,0,0,0,5,0,0
tambov.nashaspravka.ru,2,2,0,0,0,2,0,0
time2online.net,3,0,3,0,3,0,0,0
rus-bludo.info,5,0,5,0,0,3,2,0
sadnapodokonnike.info,7,0,7,0,0,0,7,0
androforum.ru,1,1,0,0,1,0,0,0
neosvc.ru,3,0,3,0,3,0,0,0
xn--80aad0aic5bcg6cq3g.xn--p1ai,2,0,2,0,2,0,0,0
eurofootball.ru,53,41,11,1,36,15,0,0
izvestiaur.ru,22,5,15,2,6,10,2,0
firestock.ru,26,11,8,11,5,0,3,0
birjis.ru,1,0,1,0,1,0,0,0
turizm.az,2,2,0,0,0,1,1,0
symbolgames.com,1,0,1,0,1,0,0,0
70rus.org,3,2,1,0,2,0,0,1
nadianova.ru,2,2,0,0,2,0,0,0
thesuperficial.com,8,8,0,1,5,2,0,0
megamedportal.ru,43,14,27,1,17,17,6,0
59mebel.ru,5,2,3,3,2,0,0,0
f-lures.com,5,5,0,0,5,0,0,0
crazy-holidays.gr,1,1,0,0,1,0,0,0
ru4.ilovetranslation.com,4,3,0,1,2,0,0,0
catalog.flatworldknowledge.com,1,0,1,1,0,0,0,0
kinchikov.net,36,15,19,2,13,11,8,0
topnewsline.ru,2,2,0,0,0,2,0,0
vse-o-tattoo.ru,9,7,2,4,2,3,0,0
detiotkutur.ru,8,8,0,0,8,0,0,0
scooterclub.extreme.by,2,2,0,0,2,0,0,0
ezocat.ru,6,5,1,0,1,5,0,0
fotoremontnik.ru,2,2,0,0,0,2,0,0
rushumor.com,2,0,2,0,0,0,1,1
soderjanka18.ru,2,2,0,0,0,0,2,0
tula.belarch.ru,2,0,2,0,0,0,0,2
sabrepc.com,2,2,0,0,2,0,0,0
antenna-unona.ru,3,3,0,0,3,0,0,0
bestgif.narod.ru,5,5,0,0,0,0,5,0
helprf.com,8,6,2,0,2,6,0,0
6264.com.ua,2,0,2,0,0,0,0,2
baltinfo.ru,17,6,10,0,6,3,7,0
peoplesgames.narod.ru,3,3,0,0,3,0,0,0
rostov-na-donu.sdamka.com,1,0,1,0,0,1,0,0
snapsort.com,2,0,2,0,0,0,2,0
urokimatematiki.ru,1,0,1,1,0,0,0,0
worldconstitutions.ru,29,0,29,0,29,0,0,0
car-77.ru,18,18,0,0,0,0,18,0
ruschembio.ru,6,5,1,0,6,0,0,0
viralfury.com,1,1,0,0,1,0,0,0
delaem-video.ru,2,0,2,0,0,0,2,0
patrioty.org.ua,15,8,5,0,1,1,5,6
transport.portalomska.ru,1,1,0,0,1,0,0,0
stockingsforsex.com,1,1,0,0,1,0,0,0
twinkpics.net,1,1,0,0,1,0,0,0
kakpozvonit.ru,12,7,5,0,9,2,1,0
profotovideo.ru,1,0,1,0,0,1,0,0
luntikgame.ru,54,0,50,0,23,23,4,0
progost.ru,2,2,0,0,0,2,0,0
toyota-avtoservice.ru,5,5,0,0,5,0,0,0
mestorator.ru,1,0,1,0,0,0,0,1
onet.pl,2,2,0,0,2,0,0,0
lovetime.com,1,1,0,0,0,0,1,0
multicams.ru,1,1,0,0,1,0,0,0
golee.ru,5,5,0,0,0,5,0,0
tpk-ss.ru,3,3,0,0,0,3,0,0
parabola-rostov.ru,3,3,0,0,0,3,0,0
trainingst.ru,8,1,7,3,2,3,0,0
zubkow2612.narod.ru,3,3,0,0,0,3,0,0
xn-----6kcabbec0b4bfkfxgqnxmkn8grf.xn--p1ai,4,4,0,0,0,0,4,0
kanalizaciya-expert.ru,21,8,10,3,7,7,1,0
forexva.ru,18,18,0,3,0,0,15,0
lostfilmonline.tv,143,113,16,75,35,19,0,0
download2.ru,1,1,0,1,0,0,0,0
top-daiting.ru,3,3,0,0,0,0,0,3
gnuss122.narod.ru,1,1,0,0,0,1,0,0
vw-polo01-manual.narod.ru,1,1,0,1,0,0,0,0
hora-track.com,3,0,3,3,0,0,0,0
my-evp.ru,1,0,1,0,1,0,0,0
bibiclub.ru,12,7,4,0,8,2,1,0
glavmag.su,9,7,2,0,4,2,2,1
ge.lboard.net,1,0,1,0,1,0,0,0
steklonarezka.ru,1,1,0,1,0,0,0,0
apechatka.ru,1,1,0,0,0,1,0,0
nanalog.ru,28,6,22,0,6,8,9,5
torrent-win.net,3,3,0,0,1,2,0,0
trackspk.in,1,1,0,0,1,0,0,0
findagrave.com,6,3,3,3,2,1,0,0
law-ooo.ru,2,2,0,0,2,0,0,0
whopematte.ucoz.ru,1,0,1,0,0,0,1,0
intergame.ucoz.com,1,1,0,0,0,0,1,0
22century.ru,1,0,1,0,0,1,0,0
shellhacks.com,3,3,0,0,2,1,0,0
myfootballworld.ru,2,2,0,0,2,0,0,0
euporntube.com,1,1,0,0,1,0,0,0
figasebe.ru,12,1,11,0,1,11,0,0
sankt-peterburg.bampershop.ru,1,0,1,0,0,0,1,0
chelovek-online.ru,7,3,1,0,3,0,0,1
medihost.ru,125,74,48,5,37,49,25,6
paint-net.ru,1,0,1,0,1,0,0,0
bio-forte.ru,16,2,14,0,2,14,0,0
agromania.ru,1,1,0,0,0,1,0,0
befeminine.ru,1,1,0,0,0,0,1,0
stomkarat.ru,2,2,0,0,0,2,0,0
vkusnodoma.net,17,9,8,4,6,6,0,1
p-an-da.com,94,6,88,0,0,94,0,0
beachballs.com,9,9,0,0,0,9,0,0
luminonn.ru,14,14,0,0,14,0,0,0
dvizhok.net,2,2,0,0,0,2,0,0
brandsale.com.ua,3,0,3,0,3,0,0,0
mrez.ru,7,7,0,0,0,7,0,0
videmoney.su,149,149,0,0,52,0,97,0
receivers.ru,13,10,2,0,10,0,2,0
knkras.ru,1,1,0,0,1,0,0,0
bigtransfers.ru,2,0,2,0,2,0,0,0
lawfirmawards.ru,7,5,2,0,4,1,2,0
cook-and-eat.ru,1,0,1,0,0,1,0,0
igriscoobydoo.ru,2,1,1,0,0,1,1,0
fialki-elena.ucoz.ru,1,0,1,0,0,1,0,0
motherfaucet.com,8,8,0,0,0,8,0,0
advancedfileoptimizer.com,4,1,3,0,1,3,0,0
goldvesti.ru,2,0,2,0,0,2,0,0
automax-cars.com,1,1,0,0,0,1,0,0
southwakepark.ru,2,0,2,0,2,0,0,0
ak-proekt.ru,1,1,0,0,0,0,0,1
muzpace.ru,3,3,0,0,3,0,0,0
maxflex.ru,1,0,1,1,0,0,0,0
zetkino.ru,2,2,0,0,0,2,0,0
taganrog.spravkus.com,2,2,0,0,2,0,0,0
kurs-dollara.at.ua,2,2,0,0,0,2,0,0
stroymanual.com,1,1,0,0,0,1,0,0
riverstreet.ru,91,0,91,91,0,0,0,0
ubb.kulichki.com,42,42,0,0,42,0,0,0
mercedes-org.ru,2,2,0,0,0,2,0,0
rukzakshop.ru,14,6,8,5,0,9,0,0
fxyz.ru,1,0,1,0,0,0,1,0
muzcard.ru,41,13,28,0,0,9,0,32
demo.simpleopencart.com,4,4,0,4,0,0,0,0
asm-asbest.ru,5,0,5,0,0,5,0,0
turkcealtyazi.org,9,9,0,0,2,7,0,0
ispolnitel.su,2,1,1,1,1,0,0,0
pizzastoria.ru,1,1,0,0,0,1,0,0
ryazan.bmsk.ru,17,17,0,0,17,0,0,0
pornotube.name,3,0,2,0,2,0,0,0
cn.all.biz,14,10,1,9,1,1,0,0
elekon.narod.ru,2,0,2,0,0,2,0,0
sitewater.ru,3,2,1,0,1,2,0,0
partner.ferio.ru,3,3,0,0,0,3,0,0
add.coolreferat.com,1,1,0,0,1,0,0,0
img120.imagevenue.com,1,1,0,0,1,0,0,0
downloadpsd.com,7,7,0,0,7,0,0,0
buildcalc.ru,1,1,0,0,1,0,0,0
vbelgorode.com,14,1,0,0,1,0,0,0
grinikkos.com,1,0,1,0,0,1,0,0
ooo.jura.com,1,1,0,0,1,0,0,0
tc-1.ru,25,24,1,22,2,0,1,0
moslove.net,3,0,3,0,0,0,0,3
centrenergo.com,2,2,0,0,2,0,0,0
69sex.tv,14,14,0,0,3,5,4,2
map1.com.ua,1,0,1,0,0,0,1,0
valerka.okis.ru,1,0,1,1,0,0,0,0
mult-njnj.at.ua,20,11,9,2,0,9,9,0
moy-znak-zodiaka.ru,2,0,2,0,0,1,1,0
vsepro100.com.ua,2,1,1,0,0,1,1,0
belgorod.dmir.ru,1,1,0,0,0,0,0,1
dstudio.spb.ru,3,3,0,0,0,0,3,0
gdz-otvety.ucoz.ru,1,0,1,0,1,0,0,0
sale-mag.com,2,0,2,0,0,0,2,0
proedy.at.ua,3,0,3,0,3,0,0,0
skovorodka-gril.ru,1,0,1,1,0,0,0,0
mebeltut66.ru,1,0,1,0,0,1,0,0
mstreem.ru,2,2,0,0,2,0,0,0
mebel.tis.ru,1,0,1,0,1,0,0,0
emprendedor.com,5,0,5,5,0,0,0,0
mport.ucoz.ru,1,1,0,0,1,0,0,0
rodina3d.ru,33,24,9,0,5,28,0,0
s-tonirovka.ru,1,1,0,1,0,0,0,0
sadovye-idei.ru,4,0,4,0,0,0,4,0
unident-spb.ru,7,7,0,3,4,0,0,0
pornorips.com,1,1,0,0,0,1,0,0
sankt-peterburg.stepo.ru,2,2,0,0,0,0,2,0
carapul.em-em-em.ru,2,2,0,0,2,0,0,0
ars-company.ru,4,4,0,0,4,0,0,0
moscow-cru.su,7,0,7,0,7,0,0,0
jurkom74.ru,7,0,7,3,2,1,1,0
utorrent.info,13,5,4,1,7,0,1,0
nedv-59perm.ru,1,0,1,0,0,1,0,0
domweb.biz,3,2,1,1,0,0,0,2
avsystem.ru,3,3,0,0,3,0,0,0
vkusnoblog.net,39,15,23,6,11,18,2,1
konservs.com,1,1,0,0,1,0,0,0
very-good-game.ru,1,0,1,0,1,0,0,0
soft.tr200.biz,15,7,7,2,8,3,1,0
znakomsya.at.ua,1,0,1,0,1,0,0,0
antech.ru,167,156,11,0,152,8,7,0
divannaya-sotnya.com.ua,33,21,7,0,15,5,4,4
magister.urfu.ru,1,1,0,0,1,0,0,0
poezd.turcompas.com,2,1,1,0,0,1,0,1
forum.pavlodarauto.kz,2,2,0,0,0,0,2,0
centrosib.info,4,4,0,0,0,0,4,0
whizbiz.dbcinfotech.net,1,1,0,1,0,0,0,0
kino-smak.ru,6,4,2,0,4,0,0,2
raptape.ru,1,1,0,1,0,0,0,0
domovenok-art.ru,14,5,7,2,4,2,2,2
pestmusschool.ucoz.ru,2,0,2,0,0,0,2,0
medgeo.net,16,16,0,0,3,11,2,0
lustful.tv,11,7,4,0,4,7,0,0
1stkidshop.ru,28,8,20,0,20,8,0,0
pho.to,32,2,27,2,4,4,5,14
jetcost.com,1,0,1,1,0,0,0,0
hqcamporn.com,14,1,0,0,0,0,1,0
beemp3s.org,1,1,0,0,1,0,0,0
xn--24-6kchbpgpxxcpzqm.xn--p1ai,1,1,0,0,0,1,0,0
f-igri.ru,60,14,22,1,5,28,1,1
edalnya.com,10,3,6,0,0,2,6,1
kadashnikov.ru,1,1,0,0,0,0,1,0
sms4b.ru,38,8,0,0,0,8,0,0
agushi.ru,1,1,0,0,0,1,0,0
forumdacha.ru,2,1,1,0,0,0,1,1
goforgirlsgames.com,2,1,1,1,1,0,0,0
starkov.su,3,0,3,0,3,0,0,0
pervo.ru,4,1,3,0,1,3,0,0
russoturista.ru,2,0,2,0,0,0,2,0
clubdecampolamotilla.es,1,1,0,0,0,0,1,0
stroitdvor.ru,1,1,0,0,1,0,0,0
lasantechatte.diary.ru,4,0,4,0,4,0,0,0
vstrogino.ru,10,0,10,0,1,2,7,0
serdobsk.net,2,2,0,0,0,2,0,0
bigpara.com,4,4,0,0,0,4,0,0
xn--80abamtzje1d.com,1,0,1,0,0,0,1,0
308-club.ru,2,2,0,0,2,0,0,0
lutsk.vol.olx.ua,4,4,0,0,2,0,0,2
kremlin-neurology.ru,1,0,1,0,1,0,0,0
tv-mitro.ru,2,0,2,0,0,1,1,0
butik-chaya.ru,1,1,0,0,0,1,0,0
blacksteel.ucoz.ru,2,2,0,0,0,2,0,0
rostovnews.net,11,1,4,4,1,0,0,0
kotikof.ru,1,1,0,0,1,0,0,0
stili-int.blogspot.ru,3,0,3,3,0,0,0,0
buhru.1c.ru,1,1,0,0,0,0,1,0
japan-stock.com,8,8,0,0,0,8,0,0
rabota.yandex.ua,9,9,0,0,0,9,0,0
ah-me.com,69,48,5,2,22,17,9,3
images.yandex.ru,3,2,1,0,1,2,0,0
zdesarenda.ru,2,1,1,0,2,0,0,0
uafan.net,2,1,0,0,0,0,1,0
vashizubi.ru,9,0,9,0,2,3,4,0
bezheck-info.ru,2,2,0,0,2,0,0,0
ocean-games.com,3,3,0,0,1,2,0,0
vyaroslavle.ru,2,2,0,0,0,1,1,0
motoprom.info,8,5,3,0,1,5,2,0
kp500.zbord.ru,8,0,8,0,8,0,0,0
100-filmov.ru,1,1,0,0,0,1,0,0
vidal.kz,19,6,12,4,7,2,3,2
smallprice.ru,3,3,0,0,3,0,0,0
ochku-tut.besaba.com,1,0,1,0,0,1,0,0
yangteacher.ru,4,0,4,0,0,4,0,0
shopsrzn.ru,80,80,0,0,0,80,0,0
akvaparki-mira.ru,1,0,1,0,0,1,0,0
mybritishcat.ru,35,17,18,0,3,28,3,1
texnano.ru,2,2,0,0,0,0,0,2
entertainmentwise.com,4,4,0,0,0,0,4,0
online-generator.com,9,9,0,0,9,0,0,0
mix-tips.su,2,1,1,0,1,1,0,0
pornobase.net,1456,1456,0,0,1,1455,0,0
aport.ru,6,3,3,0,0,4,2,0
lviv.lv.besplatka.ua,3,2,1,0,1,2,0,0
judges.su,2,1,1,0,1,0,1,0
autodr.ru,1,1,0,0,1,0,0,0
obd-memorial.ru,2,0,2,0,2,0,0,0
vitash.narod.ru,1,0,1,0,0,0,0,1
retroporn.name,3,3,0,0,0,3,0,0
saphris.ru,1,0,1,0,0,1,0,0
santexna.ru,179,8,169,0,8,0,0,169
minimaks.ru,93,64,12,3,71,0,2,0
pw-bloodfang.ucoz.ru,1,1,0,0,0,1,0,0
posredniki.info,5,0,5,0,2,3,0,0
blackberrys.ru,3,3,0,0,0,3,0,0
poeworld.ru,1,0,1,0,0,1,0,0
droid.at.ua,2,2,0,0,2,0,0,0
autoline.com.pl,1,1,0,0,1,0,0,0
povariwka.ru,4,1,3,0,1,1,2,0
vasha-urologiya.ru,1,0,1,0,0,1,0,0
secl.ru,2,0,2,0,0,2,0,0
my-health.ru,1,0,1,0,1,0,0,0
studlib.com,4,2,2,0,4,0,0,0
adulttale.com,2,2,0,1,1,0,0,0
vivabride.ru,12,11,1,0,7,5,0,0
yarmebel.ru,16,16,0,0,0,5,3,8
pravda.ks.ua,4,4,0,0,2,0,0,2
ru.tanki-online.wikia.com,1,1,0,0,1,0,0,0
pravila-uk-mova.at.ua,5,0,4,0,3,1,0,0
skzd.rzd.ru,6,0,1,0,1,0,0,0
vezunchik.club,12,4,7,4,1,0,5,1
noggiimed.ru,2,0,2,0,0,2,0,0
prouniver.com,3,0,3,2,0,1,0,0
vseoburenii.com,1,1,0,0,0,1,0,0
rustan.ru,8,5,1,0,3,3,0,0
stacey4dlharder.narod.ru,1,1,0,0,0,0,0,1
voronezhgid.ru,46,33,13,0,6,35,5,0
06257.in.ua,1,1,0,0,0,1,0,0
empflix.com,161,120,20,6,69,56,7,2
rybolov-land.ucoz.ru,1,1,0,0,1,0,0,0
terminal-dc.ru,1,1,0,0,0,1,0,0
ivgarant37.ru,1,1,0,0,0,1,0,0
elektronka-kmv.ru,2,2,0,0,0,2,0,0
my-edu.ru,3,0,3,1,0,1,1,0
lek-trava.ucoz.ru,4,4,0,0,0,4,0,0
pkorzina.ru,1,1,0,0,1,0,0,0
ya-zdorovyi.com,1,1,0,0,0,1,0,0
persage.narod.ru,1,0,1,0,0,1,0,0
dukascopy.com,10,3,0,0,2,0,1,0
school-math.narod.ru,1,0,1,1,0,0,0,0
helpsnet.ru,2,0,2,0,2,0,0,0
xn----7sbab9bbrk2an7c6c.xn--p1ai,2,1,1,0,0,2,0,0
wozbuditel.ru,1,1,0,0,0,1,0,0
forum.sc2tv.ru,1,1,0,0,1,0,0,0
yunii-tehnik.nngrad.ru,1,1,0,0,0,0,1,0
chiragkanzariya.blogspot.com,1,1,0,0,1,0,0,0
kvartiranasutki.ru,1,0,1,0,0,1,0,0
stoptoxin.ru,7,7,0,0,0,7,0,0
milor116.ru,11,11,0,0,0,11,0,0
eliseev.ru,1,0,1,0,0,1,0,0
fotopicture.ucoz.ru,1,1,0,0,1,0,0,0
novjob.ru,89,1,29,0,3,18,0,9
your-magic.ru,17,6,11,4,4,5,4,0
intrados.ru,1,1,0,0,0,1,0,0
gadgetmir.org,3,1,2,1,0,2,0,0
muzhik-v-dome.ru,14,11,3,3,6,2,3,0
lavka-konditera.at.ua,6,0,6,0,0,6,0,0
domo-mir.ru,1,1,0,0,0,1,0,0
dudin.ouc.ru,1,0,1,1,0,0,0,0
prydbay.com,8,8,0,0,8,0,0,0
extremeplanet.ru,1,0,1,0,0,1,0,0
lady.day.az,140,53,9,1,29,23,4,5
russkayavesna.ru,11,6,5,2,8,1,0,0
all-for-nokia.com,4,2,2,2,2,0,0,0
rakustop.ru,8,0,8,0,2,3,3,0
belovo.spravker.ru,12,0,12,5,0,0,7,0
avita-matras.ru,21,21,0,0,21,0,0,0
pvc-crimea.ru,2,0,2,0,0,2,0,0
xn---68-9cdbjqb3cfhv4b1a6l.xn--p1ai,2,0,2,0,0,2,0,0
smolnarod.ru,1,1,0,0,0,1,0,0
cut-therope.ru,1,0,1,0,1,0,0,0
evrozapchact.ru,3,3,0,0,3,0,0,0
kinolodka.ru,11,8,2,2,3,4,1,0
ru.hotels.com,572,206,330,5,216,198,106,11
pchelandiya.z175114.infobox.ru,1,1,0,0,0,1,0,0
klubstroitelei.com,67,23,44,0,12,11,25,19
moyadacha.temaretik.com,3,2,0,0,0,0,2,0
motopila.ru,2,2,0,0,1,1,0,0
auto.yandex.ru,61,26,14,5,23,7,4,1
joomlaforum.ru,40,38,2,0,5,33,2,0
larousse-247rm.fr,1,1,0,0,1,0,0,0
xn--80aafiumu9a.xn--p1ai,1,1,0,0,1,0,0,0
galaktika.mirtesen.ru,58,33,19,2,4,20,12,14
allaboutourladies.ru,62,27,27,0,9,7,14,24
orendoktor.ru,1,0,1,0,0,1,0,0
exclusive.tnt-online.ru,5,5,0,0,0,0,5,0
younail.ru,2,0,2,0,2,0,0,0
specliftz.ru,2,0,2,0,2,0,0,0
mosenergosbyt.ru,1,0,1,0,1,0,0,0
mebel-meridian.ru,5,4,1,0,1,3,1,0
igrozal.com,1,1,0,0,0,0,1,0
perevody-deneg.ru,6,2,4,0,0,2,0,4
zhiznenno.net,1,0,1,0,1,0,0,0
aksakovosan.ru,9,0,9,0,9,0,0,0
polsov.com,16,0,16,0,0,4,0,12
vykrojki.web-box.ru,3,0,3,0,0,0,3,0
51m.ru,2,2,0,0,1,1,0,0
traderblog.biz,2,2,0,0,2,0,0,0
lady.tsn.ua,32,8,24,4,8,13,7,0
teradoska.ru,3,2,1,0,1,1,0,1
makeby.ru,1,1,0,0,1,0,0,0
secretworlds.ru,3,0,3,0,0,3,0,0
dogstav.narod.ru,1,0,1,0,1,0,0,0
goldinfo.com.ua,1,1,0,0,0,1,0,0
warez.sumy.ua,3,3,0,0,3,0,0,0
noolmoroz.diary.ru,3,3,0,0,3,0,0,0
ivx.ru,87,75,12,48,2,35,2,0
handy-power.ru,1,1,0,0,1,0,0,0
viralnova.com,1,1,0,0,1,0,0,0
igryponi.ru,183,79,81,35,54,8,63,0
sovet.yoops.ru,13,8,5,5,1,6,1,0
mobiguru.ru,247,126,97,19,50,114,34,6
tiu.ru,8,2,6,0,4,4,0,0
sportpower.com.ua,2,1,1,0,1,0,1,0
wot.motortrend.com,1,1,0,1,0,0,0,0
days.pravoslavie.ru,268,169,89,15,80,96,54,13
apachan.net,188,188,0,0,188,0,0,0
masterplans.ru,2,0,2,0,0,0,2,0
kazkova-mria.com,2,0,2,0,0,2,0,0
attwoodmarine.com,1,1,0,0,0,1,0,0
weathertech.com,8,8,0,0,0,8,0,0
kypisumku.ru,1,1,0,0,1,0,0,0
sp.cosmo.ru,6,6,0,0,0,6,0,0
mt6uzf7y6j.com,1,0,1,0,1,0,0,0
vdomax.ru,12,5,5,0,6,1,3,0
testsoch.com,22,5,17,0,8,10,3,1
pinkcadillac.ru,2,2,0,0,0,2,0,0
prodki.narod.ru,4,0,4,0,0,0,4,0
best-hack.ru,1,1,0,0,0,1,0,0
interlinks.ru,9,1,4,0,4,1,0,0
tvair.ru,19,2,0,0,2,0,0,0
lifesguide.ru,41,14,24,0,14,15,9,0
ru.xhamster.com.6716068.yupiromo.ru,1,1,0,0,0,1,0,0
my.auto.ru,3,3,0,1,0,2,0,0
tometo.ru,1,0,1,0,0,0,0,1
healthy-women.ru,1,0,1,0,1,0,0,0
ekoporn.com,1,1,0,0,0,1,0,0
ispyconnect.com,13,8,0,0,3,5,0,0
news-city.info,5,0,5,0,2,3,0,0
nnedbet.ucoz.ru,2,0,2,0,0,0,2,0
dostavka-24chasa.ru,4,0,4,0,1,3,0,0
nostars.biz,2,1,1,1,0,1,0,0
3d-coat.com,1,1,0,0,1,0,0,0
dom2.tv,1663,127,1490,22,175,142,1252,26
vyshyvki.ucoz.ua,9,0,9,0,0,0,9,0
obyavleniya.spb.ru,5,2,3,0,0,2,3,0
voenkino.net,2,0,2,0,0,2,0,0
veorkf.narod.ru,1,1,0,1,0,0,0,0
ludmila770.eto-ya.com,1,1,0,0,0,1,0,0
israelvideonetwork.com,8,7,1,0,0,1,7,0
xn--80afmalsj.xn--p1ai,6,6,0,0,6,0,0,0
extm.clan.su,2,0,2,0,2,0,0,0
stockluxury.ru,1,1,0,0,1,0,0,0
newsletter.e-domizil.de,1,1,0,0,0,1,0,0
spirit.miaterra.ru,21,2,19,0,0,10,3,8
travel-skidki.ru,2,2,0,0,0,2,0,0
vasilevichi.second.by,1,0,1,0,0,1,0,0
zobbogames.com,30,30,0,0,0,30,0,0
notebook-update.ru,5,0,5,0,0,0,5,0
xn--b1afobadgpebfpm2a.xn--p1ai,2,1,1,0,0,1,1,0
yobt.com,118,97,11,4,45,41,14,4
englishmagazin.ru,1,1,0,0,0,1,0,0
gurzuf.pro,5,3,2,1,1,0,1,2
spbmap.ru,118,54,63,11,27,51,28,0
planetakino.com,3,3,0,3,0,0,0,0
tms-2000.com,2,2,0,0,2,0,0,0
sidorenkosl.narod.ru,2,2,0,0,2,0,0,0
shop-sh.ru,3,1,1,0,2,0,0,0
ssdownloader.com,11,1,8,3,2,2,1,1
pfj.ru,1,0,1,1,0,0,0,0
video.otzyvua.net,7,0,7,0,0,0,7,0
turbonuke.com,6,1,2,0,1,2,0,0
lidatex.narod.ru,1,1,0,0,0,1,0,0
cartoon.kulichki.com,9,2,7,1,5,3,0,0
22-okna.ru,1,1,0,0,1,0,0,0
atlasmetr.com,2,2,0,0,0,2,0,0
spartoo.net,6,6,0,0,0,0,6,0
posterlux.ru,9,0,8,0,0,2,6,0
pr-cy.ru,64,62,2,11,4,49,0,0
modniy-gid.ru,18,2,16,0,7,10,1,0
dalnerbib.ucoz.ru,2,0,2,0,2,0,0,0
km-rda.gov.ua,1,0,1,0,1,0,0,0
another-reality.forum2x2.ru,1,0,1,0,0,0,1,0
magicpic.nethouse.ru,1,0,1,0,0,0,1,0
pentagonus.ru,2,2,0,0,2,0,0,0
astron-mebel.ru,1,0,1,0,0,0,1,0
fisher-book.ru,1,1,0,0,0,1,0,0
ufa.autobariga.ru,1,1,0,0,1,0,0,0
amwayproducts.ru,2,0,2,0,2,0,0,0
annemaria48.deviantart.com,1,0,1,0,0,0,1,0
webgram.ru,1,1,0,1,0,0,0,0
shop.engines.ru,1,1,0,1,0,0,0,0
narodclub.net,2,2,0,0,0,2,0,0
metallspb.ru,2,0,2,0,0,2,0,0
ruskiislovari.ru,7,0,6,0,4,0,2,0
shkola.to-ask.ru,1,0,1,0,0,1,0,0
bank-izobiliya.ru,87,0,87,0,0,0,0,87
